# ----------------------------------------
# Landing page: Landing page
# Account: info@urban-warzone.com
# Property: Urban War Zone Paintball - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251022
# End date: 20260321
Landing page,Session source / medium,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,google / organic,4517,3385,3283,89.9506309497454,0,0,0
/,(direct) / (none),3775,3311,3278,33.947549668874174,0,0,0
/blog/gear/compressed-air-tank-for-paintball,google / organic,459,412,410,99.86492374727669,0,0,0
/rental-prices,google / organic,429,247,142,35.21911421911422,0,0,0
/rental-prices/individual-rental-prices,google / organic,396,185,16,10.323232323232324,0,0,0
/rental-prices/individual-rental-prices,(direct) / (none),302,220,181,16.698675496688743,0,0,0
(not set),google / organic,290,206,1,1.5586206896551724,0,0,0
/rental-prices,(direct) / (none),256,215,192,16.29296875,0,0,0
/blog/gear/paintball-co2-tank,google / organic,203,191,190,89.55665024630542,0,0,0
/paintball-reservations,google / organic,187,173,148,108.92513368983957,0,0,0
/,bing / organic,172,139,130,135.62790697674419,0,0,0
/blog/gear/compressed-air-tank-for-paintball,(direct) / (none),164,164,164,14.676829268292684,0,0,0
/waiver,(direct) / (none),164,111,106,9.554878048780488,0,0,0
/paintball-reservations,(direct) / (none),153,139,130,48.372549019607845,0,0,0
/pictures,google / organic,148,88,11,4.851351351351352,0,0,0
/rental-prices/medium-group-discount,(direct) / (none),138,98,88,41.71739130434783,0,0,0
/rental-prices/medium-group-discount,google / organic,127,66,10,32.118110236220474,0,0,0
/paintball-reservations/gateway,google / organic,124,68,0,38.895161290322584,0,0,0
/pictures,(direct) / (none),121,82,56,7.305785123966942,0,0,0
/blog/gear/paintball-co2-tank,(direct) / (none),119,119,119,7.9411764705882355,0,0,0
/hiring-for-paintball-jobs-work,google / organic,108,12,5,1.712962962962963,0,0,0
/cart,google / organic,91,43,10,55.53846153846154,0,0,0
/paintball-birthday-party,(direct) / (none),83,78,73,21.253012048192772,0,0,0
/paintball-birthday-party,google / organic,79,62,41,86.68354430379746,0,0,0
/frequently-asked-questions,(direct) / (none),78,63,59,20.307692307692307,0,0,0
